sparm->C: 0.100000
Reading training examples...feature dimension: 69
total utterence:10 done
Iter 294: *(NumConst=129, SV=101, CEps=0.4188, QPEps=0.1733)
Iter 295: *(NumConst=130, SV=101, CEps=0.4483, QPEps=0.1775)
Iter 296: *(NumConst=130, SV=102, CEps=0.3545, QPEps=0.1756)
Iter 297: *(NumConst=131, SV=103, CEps=0.4216, QPEps=0.1711)
Iter 298: *(NumConst=131, SV=103, CEps=0.4581, QPEps=0.1687)
Iter 299: *(NumConst=131, SV=103, CEps=0.3942, QPEps=0.1715)
Iter 300: *(NumConst=130, SV=104, CEps=0.4102, QPEps=0.1671)
Iter 301: *(NumConst=131, SV=105, CEps=0.4269, QPEps=0.1577)
Iter 302: *(NumConst=132, SV=106, CEps=0.3477, QPEps=0.1663)
Iter 303: *(NumConst=132, SV=107, CEps=0.3052, QPEps=0.1480)
Iter 304: *(NumConst=132, SV=108, CEps=0.4121, QPEps=0.1518)
Iter 305: *(NumConst=133, SV=108, CEps=0.4092, QPEps=0.1513)
Iter 306: *(NumConst=133, SV=109, CEps=0.3897, QPEps=0.1479)
Iter 307: *(NumConst=133, SV=110, CEps=0.3336, QPEps=0.1467)
Iter 308: *(NumConst=134, SV=111, CEps=0.3732, QPEps=0.1447)
Iter 309: *(NumConst=134, SV=111, CEps=0.3700, QPEps=0.1467)
Iter 310: *(NumConst=135, SV=112, CEps=0.3866, QPEps=0.1482)
Iter 311: *(NumConst=135, SV=113, CEps=0.3824, QPEps=0.1427)
Iter 312: *(NumConst=136, SV=114, CEps=0.3595, QPEps=0.1495)
Iter 313: *(NumConst=136, SV=115, CEps=0.3180, QPEps=0.1512)
Iter 314: *(NumConst=137, SV=114, CEps=0.3407, QPEps=0.1392)
Iter 315: *(NumConst=137, SV=114, CEps=0.3260, QPEps=0.1493)
Iter 316: *(NumConst=137, SV=114, CEps=0.3259, QPEps=0.1406)
Iter 317: *(NumConst=137, SV=115, CEps=0.3427, QPEps=0.1511)
Iter 318: *(NumConst=138, SV=116, CEps=0.2783, QPEps=0.1292)
Iter 319: *(NumConst=139, SV=117, CEps=0.3555, QPEps=0.1335)
Iter 320: *(NumConst=140, SV=118, CEps=0.3174, QPEps=0.1379)
Iter 321: *(NumConst=141, SV=117, CEps=0.2885, QPEps=0.1249)
Iter 322: *(NumConst=142, SV=118, CEps=0.3326, QPEps=0.1324)
Iter 323: *(NumConst=142, SV=119, CEps=0.3689, QPEps=0.1319)
